"id","name","slug","status","address","note","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"148","Peertop Pharmaceuticals Ltd.,","peertop-pharmaceuticals-ltd.,","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"149","Peoples Pharma Ltd.","peoples-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"150","Pharmacil Ltd.","pharmacil-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"151","Pharmasia Ltd.","pharmasia-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"152","Pharmatek Chemicals Ltd.","pharmatek-chemicals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"153","Pharmik Laboratories Ltd.","pharmik-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"154","Physic Pharmaceuticals Ltd.,","physic-pharmaceuticals-ltd.,","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"155","Popular Pharmaceuticals PLC","popular-pharmaceuticals-plc","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"156","Premier Pharmaceuticals Ltd.","premier-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"157","Prime Pharmaceuticals Ltd.","prime-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"158","Pristine Chem Limited","pristine-chem-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"159","Pristine Pharmaceuticals","pristine-pharmaceuticals","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"160","Promixco Pharmaceutical Ltd.","promixco-pharmaceutical-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"161","Purbadesh Chemists Ltd.,","purbadesh-chemists-ltd.,","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"162","Quality Pharmaceuticals (Pvt) Ltd.","quality-pharmaceuticals-(pvt)-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"163","Radiant Pharmaceuticals Ltd.","radiant-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"164","Rahman Chemicals Ltd.","rahman-chemicals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"165","Rampart-Power Bangladesh Ltd.","rampart-power-bangladesh-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"166","Rangs Pharmaceuticals Ltd.","rangs-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"167","Reckitt Benckiser Bangladesh Ltd.","reckitt-benckiser-bangladesh-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"168","Reliance Pharmaceuticals Ltd.","reliance-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"169","Reman Drug Laboratories Ltd.","reman-drug-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"170","Remo Chemical Ltd.","remo-chemical-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"171","Renata Limited","renata-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
